# locale=zh	language=Simplified Chinese	source=D:\soft\Steam\steamapps\common\Crimson Desert\Save Editor\locale\names_zh.json
# item_key	category	current_language_name	english_name	internal_name	slotType	inventoryCategory
1	Currency	铜币	Silver	Money_Copper	65535	2
2	Currency	珍珠	Pearl	Money_Pearl	65535	2
11	Currency	营地资金	Camp Funds	Money_Camp_Money	65535	2
12	Currency	营地口粮	Camp Food	Money_Camp_Food	65535	2
13	Currency	营地木材	Camp Timber	Money_Camp_Wood	65535	2
14	Currency	营地石材	Camp Stone	Money_Camp_Stone	65535	2
15	Currency	营地兵器	Camp Weapons	Money_Camp_Weapon	65535	2
53	Currency	金块	Gold Bar	GoldBar	65535	2
101	Currency	铜币口袋	Modest Copper Pouch	Copper_Pack	65535	2
102	Currency	沉甸甸的铜币口袋	Full Copper Pouch	Heavy_Copper_Pack	65535	2
103	Currency	较轻的铜币口袋	Light Copper Pouch	Small_Copper_Pack	65535	2
104	Currency	沉甸甸的银币口袋	Full Silver Pouch	Silver_Pack	65535	2
105	Currency	快要撑破的银币袋	Overflowing Silver Pouch	Heavy_Silver_Pack	65535	2
2200	Ammo	片箭	Stub Arrow	Pyeonjeon_Arrow	65535	2
4334	Quest	破损的比吉奥内	Broken Visione	Quest_BrokenVisionPro_Bremer	4	1
4335	Quest	破损的比吉奥内	Broken Visione	Quest_BrokenVisionPro_Ibano	4	1
4336	Quest	破损的比吉奥内	Broken Visione	Quest_BrokenVisionPro_ThiefCave	4	1
4344	Quest	破损的比吉奥内	Broken Visione	Quest_BrokenVisionPro_Witch_Kidnapped_Memory	4	1
4377	Quest	破损的比吉奥内	Broken Visione	Quest_BrokenVisionPro_MasterGrundir_Diary	4	1
6000	Misc	包扩展工具	Inventory Expansion Tool	Inventory_Expansion_30	65535	2
6001	Misc	小型背包	Small Bag	Inventory_Expansion_1	65535	2
6002	Misc	中型背包	Medium Bag	Inventory_Expansion_2	65535	2
6003	Misc	特大型背包	Extra Large Bag	Inventory_Expansion_4	65535	2
6005	Misc	大型背包	Large Bag	Inventory_Expansion_3	65535	2
8501	Ring	白角戒指	White Horn's Ring	AbyssReward_WhiteHorn_Ring	10	1
8502	Ring	闪电戒指	Ring of Lightning	Legendary_Titan_Ring	10	1
8504	Earring	黑暗魔力耳环	Earring of Dark Magic	Legendary_HexeMarie_Earring	8	1
8505	Necklace	食人魔的戒指	Ogre's Ring	Legendary_Ogre_Ring	9	1
8506	Ring	女巫的戒指	Witch's Ring	AbyssReward_EastWitch_Ring	10	1
8509	Earring	花瓣耳环	Flower Petal Earring	Folorin_Earring	8	1
8700	ChestArmor	绯红追击者锁链盔甲	Crimson Chaser Mail	Redsentinel_ChainMail_Armor	5	1
8801	Necklace	暴雪凝晶项链	Blizzard Crystal Necklace	Crafting_Blizzard_Necklace	9	1
9102	ChestArmor	埃尔南德仪仗队盔甲	Hernandian Honor Guard Armor	Hernand_GuardCaptain_Fabric_Armor	5	1
9103	ChestArmor	塔里布布制衣服	Tariv Cloth Attire	Tarif_Fabric_Armor	5	1
9201	Boots	塔里布布制鞋子	Tariv Cloth Boots	Tarif_Fabric_Boots	7	1
9302	Gloves	塔里布布制手套	Tariv Cloth Gloves	Tarif_Fabric_Gloves	6	1
9400	Helmet	贝奥内克布制头盔	Beoneck Cloth Cap	Beoneck_Fabric_Helm	4	1
